,time,lat,lon,t_abs
361172,2017-05-16T24:00:00Z,-17.5,-177.5,26.49
361173,2017-05-16T24:00:00Z,-17.5,-172.5,25.935
361174,2017-05-16T24:00:00Z,-17.5,-167.5,24.8
361175,2017-05-16T24:00:00Z,-17.5,-157.5,25.22
361176,2017-05-16T24:00:00Z,-17.5,-152.5,27.96
361177,2017-05-16T24:00:00Z,-17.5,-72.5,13.375
361178,2017-05-16T24:00:00Z,-17.5,-67.5,16.91
361179,2017-05-16T24:00:00Z,-17.5,-62.5,21.39
361180,2017-05-16T24:00:00Z,-17.5,-57.5,27.64
361181,2017-05-16T24:00:00Z,-17.5,-47.5,22.636665
361182,2017-05-16T24:00:00Z,-17.5,-42.5,20.42
361183,2017-05-16T24:00:00Z,-17.5,-7.5,19.61
361184,2017-05-16T24:00:00Z,-17.5,17.5,21.33
361185,2017-05-16T24:00:00Z,-17.5,22.5,19.5
361186,2017-05-16T24:00:00Z,-17.5,27.5,20.185001
361187,2017-05-16T24:00:00Z,-17.5,32.5,20.2
361188,2017-05-16T24:00:00Z,-17.5,37.5,23.49
361189,2017-05-16T24:00:00Z,-17.5,47.5,23.313334
361190,2017-05-16T24:00:00Z,-17.5,62.5,25.15
361191,2017-05-16T24:00:00Z,-17.5,122.5,24.724998
361192,2017-05-16T24:00:00Z,-17.5,127.5,24.866667
361193,2017-05-16T24:00:00Z,-17.5,132.5,24.09
361194,2017-05-16T24:00:00Z,-17.5,137.5,24.7775
361195,2017-05-16T24:00:00Z,-17.5,142.5,24.77
361196,2017-05-16T24:00:00Z,-17.5,147.5,23.42625
361197,2017-05-16T24:00:00Z,-17.5,167.5,26.016668
361198,2017-05-16T24:00:00Z,-17.5,177.5,26.44
361199,2017-05-16T24:00:00Z,-12.5,-177.5,27.79
361200,2017-05-16T24:00:00Z,-12.5,-172.5,27.64
361201,2017-05-16T24:00:00Z,-12.5,-77.5,20.16
361202,2017-05-16T24:00:00Z,-12.5,-72.5,13.16
361203,2017-05-16T24:00:00Z,-12.5,-37.5,25.31
361204,2017-05-16T24:00:00Z,-12.5,47.5,27.93
361205,2017-05-16T24:00:00Z,-12.5,57.5,28.04
361206,2017-05-16T24:00:00Z,-12.5,132.5,25.858002
361207,2017-05-16T24:00:00Z,-12.5,142.5,21.675
361208,2017-05-16T24:00:00Z,-12.5,177.5,28.47
361209,2017-05-16T24:00:00Z,-7.5,-157.5,28.86
361210,2017-05-16T24:00:00Z,-7.5,-82.5,24.71
361211,2017-05-16T24:00:00Z,-7.5,-77.5,27.47
361212,2017-05-16T24:00:00Z,-7.5,-72.5,28.45
361213,2017-05-16T24:00:00Z,-7.5,-67.5,25.43
361214,2017-05-16T24:00:00Z,-7.5,-62.5,26.46
361215,2017-05-16T24:00:00Z,-7.5,-47.5,27.65
361216,2017-05-16T24:00:00Z,-7.5,-42.5,26.96
361217,2017-05-16T24:00:00Z,-7.5,-37.5,26.26
361218,2017-05-16T24:00:00Z,-7.5,-32.5,26.4
361219,2017-05-16T24:00:00Z,-7.5,-12.5,27.16
361220,2017-05-16T24:00:00Z,-7.5,37.5,25.63
361221,2017-05-16T24:00:00Z,-7.5,107.5,28.855
361222,2017-05-16T24:00:00Z,-7.5,112.5,28.636667
361223,2017-05-16T24:00:00Z,-7.5,117.5,27.4675
361224,2017-05-16T24:00:00Z,-7.5,122.5,28.11
361225,2017-05-16T24:00:00Z,-7.5,132.5,27.575
361226,2017-05-16T24:00:00Z,-7.5,157.5,27.56
361227,2017-05-16T24:00:00Z,-7.5,162.5,27.17
361228,2017-05-16T24:00:00Z,-7.5,177.5,29.24
361229,2017-05-16T24:00:00Z,-2.5,-82.5,26.2
361230,2017-05-16T24:00:00Z,-2.5,-77.5,18.994999
361231,2017-05-16T24:00:00Z,-2.5,-72.5,26.32
361232,2017-05-16T24:00:00Z,-2.5,-67.5,25.84
361233,2017-05-16T24:00:00Z,-2.5,-62.5,26.79
361234,2017-05-16T24:00:00Z,-2.5,-57.5,27.6
361235,2017-05-16T24:00:00Z,-2.5,-52.5,26.68
361236,2017-05-16T24:00:00Z,-2.5,-47.5,26.64
361237,2017-05-16T24:00:00Z,-2.5,-37.5,27.78
361238,2017-05-16T24:00:00Z,-2.5,12.5,26.81
361239,2017-05-16T24:00:00Z,-2.5,32.5,22.48
361240,2017-05-16T24:00:00Z,-2.5,37.5,21.274288
361241,2017-05-16T24:00:00Z,-2.5,57.5,28.26
361242,2017-05-16T24:00:00Z,-2.5,102.5,27.705
361243,2017-05-16T24:00:00Z,-2.5,107.5,27.89
361244,2017-05-16T24:00:00Z,-2.5,112.5,27.573334
361245,2017-05-16T24:00:00Z,-2.5,117.5,27.769999
361246,2017-05-16T24:00:00Z,-2.5,122.5,27.45
361247,2017-05-16T24:00:00Z,-2.5,127.5,26.62
361248,2017-05-16T24:00:00Z,2.5,-77.5,22.415
361249,2017-05-16T24:00:00Z,2.5,-72.5,14.38
361250,2017-05-16T24:00:00Z,2.5,-62.5,26.42
361251,2017-05-16T24:00:00Z,2.5,-52.5,28.46
361252,2017-05-16T24:00:00Z,2.5,-7.5,27.43
361253,2017-05-16T24:00:00Z,2.5,7.5,27.25
361254,2017-05-16T24:00:00Z,2.5,17.5,26.51
361255,2017-05-16T24:00:00Z,2.5,32.5,18.77
361256,2017-05-16T24:00:00Z,2.5,37.5,22.423334
361257,2017-05-16T24:00:00Z,2.5,97.5,27.445
361258,2017-05-16T24:00:00Z,2.5,102.5,28.179998
361259,2017-05-16T24:00:00Z,2.5,112.5,27.766
361260,2017-05-16T24:00:00Z,2.5,117.5,27.59
361261,2017-05-16T24:00:00Z,2.5,122.5,27.39
361262,2017-05-16T24:00:00Z,2.5,172.5,28.68
361263,2017-05-16T24:00:00Z,7.5,-82.5,26.016668
361264,2017-05-16T24:00:00Z,7.5,-77.5,22.085
361265,2017-05-16T24:00:00Z,7.5,-72.5,28.02
361266,2017-05-16T24:00:00Z,7.5,-57.5,26.69
361267,2017-05-16T24:00:00Z,7.5,-7.5,27.185
361268,2017-05-16T24:00:00Z,7.5,2.5,27.674286
361269,2017-05-16T24:00:00Z,7.5,17.5,30.23
361270,2017-05-16T24:00:00Z,7.5,37.5,18.07
361271,2017-05-16T24:00:00Z,7.5,77.5,29.133333
361272,2017-05-16T24:00:00Z,7.5,82.5,23.045
361273,2017-05-16T24:00:00Z,7.5,97.5,28.26125
361274,2017-05-16T24:00:00Z,7.5,102.5,28.585
361275,2017-05-16T24:00:00Z,7.5,107.5,28.795
361276,2017-05-16T24:00:00Z,7.5,112.5,29.34
361277,2017-05-16T24:00:00Z,7.5,117.5,28.422499
361278,2017-05-16T24:00:00Z,7.5,122.5,29.013334
361279,2017-05-16T24:00:00Z,7.5,127.5,28.373335
361280,2017-05-16T24:00:00Z,7.5,132.5,26.92
361281,2017-05-16T24:00:00Z,7.5,137.5,27.86
361282,2017-05-16T24:00:00Z,7.5,152.5,28.52
361283,2017-05-16T24:00:00Z,7.5,167.5,28.58
361284,2017-05-16T24:00:00Z,12.5,-92.5,25.416666
361285,2017-05-16T24:00:00Z,12.5,-87.5,28.115
361286,2017-05-16T24:00:00Z,12.5,-77.5,28.96
361287,2017-05-16T24:00:00Z,12.5,-72.5,28.56
361288,2017-05-16T24:00:00Z,12.5,-67.5,27.279999
361289,2017-05-16T24:00:00Z,12.5,-62.5,28.699999
361290,2017-05-16T24:00:00Z,12.5,-57.5,28.03
361291,2017-05-16T24:00:00Z,12.5,-17.5,27.685999
361292,2017-05-16T24:00:00Z,12.5,-12.5,33.37
361293,2017-05-16T24:00:00Z,12.5,-7.5,31.099998
361294,2017-05-16T24:00:00Z,12.5,-2.5,31.577002
361295,2017-05-16T24:00:00Z,12.5,2.5,31.710001
361296,2017-05-16T24:00:00Z,12.5,7.5,34.618004
361297,2017-05-16T24:00:00Z,12.5,12.5,34.8275
361298,2017-05-16T24:00:00Z,12.5,17.5,34.39
361299,2017-05-16T24:00:00Z,12.5,77.5,31.618334
361300,2017-05-16T24:00:00Z,12.5,97.5,29.26
361301,2017-05-16T24:00:00Z,12.5,102.5,29.310001
361302,2017-05-16T24:00:00Z,12.5,107.5,28.615
361303,2017-05-16T24:00:00Z,12.5,122.5,29.410666
361304,2017-05-16T24:00:00Z,12.5,127.5,28.22
361305,2017-05-16T24:00:00Z,12.5,142.5,28.119999
361306,2017-05-16T24:00:00Z,12.5,147.5,28.64
361307,2017-05-16T24:00:00Z,17.5,-157.5,23.82
361308,2017-05-16T24:00:00Z,17.5,-102.5,24.523333
361309,2017-05-16T24:00:00Z,17.5,-97.5,23.493334
361310,2017-05-16T24:00:00Z,17.5,-92.5,24.688334
361311,2017-05-16T24:00:00Z,17.5,-87.5,28.8875
361312,2017-05-16T24:00:00Z,17.5,-82.5,28.78
361313,2017-05-16T24:00:00Z,17.5,-77.5,26.595
361314,2017-05-16T24:00:00Z,17.5,-72.5,28.37
361315,2017-05-16T24:00:00Z,17.5,-67.5,27.217999
361316,2017-05-16T24:00:00Z,17.5,-62.5,27.839998
361317,2017-05-16T24:00:00Z,17.5,-17.5,27.943335
