,time,lat,lon,rh_anoms
367295,2017-05-16T24:00:00Z,-22.5,147.5,6.856427
367296,2017-05-16T24:00:00Z,-22.5,152.5,5.108411
367297,2017-05-16T24:00:00Z,-22.5,167.5,0.4018819
367298,2017-05-16T24:00:00Z,-17.5,-172.5,0.97207355
367299,2017-05-16T24:00:00Z,-17.5,-167.5,-2.536875
367300,2017-05-16T24:00:00Z,-17.5,-157.5,-0.012105263
367301,2017-05-16T24:00:00Z,-17.5,-152.5,-0.484
367302,2017-05-16T24:00:00Z,-17.5,-72.5,2.2848077
367303,2017-05-16T24:00:00Z,-17.5,-67.5,7.0453334
367304,2017-05-16T24:00:00Z,-17.5,-62.5,8.371333
367305,2017-05-16T24:00:00Z,-17.5,-57.5,3.4589286
367306,2017-05-16T24:00:00Z,-17.5,-47.5,1.2747535
367307,2017-05-16T24:00:00Z,-17.5,-42.5,0.73845834
367308,2017-05-16T24:00:00Z,-17.5,-37.5,-4.4258823
367309,2017-05-16T24:00:00Z,-17.5,17.5,9.871913
367310,2017-05-16T24:00:00Z,-17.5,22.5,4.8625927
367311,2017-05-16T24:00:00Z,-17.5,27.5,4.903501
367312,2017-05-16T24:00:00Z,-17.5,32.5,5.2349396
367313,2017-05-16T24:00:00Z,-17.5,37.5,0.9675
367314,2017-05-16T24:00:00Z,-17.5,47.5,0.47341168
367315,2017-05-16T24:00:00Z,-17.5,62.5,1.4955173
367316,2017-05-16T24:00:00Z,-17.5,122.5,0.726285
367317,2017-05-16T24:00:00Z,-17.5,127.5,-0.3127597
367318,2017-05-16T24:00:00Z,-17.5,132.5,-2.0060632
367319,2017-05-16T24:00:00Z,-17.5,137.5,-1.543709
367320,2017-05-16T24:00:00Z,-17.5,142.5,0.28303623
367321,2017-05-16T24:00:00Z,-17.5,147.5,0.5423905
367322,2017-05-16T24:00:00Z,-17.5,167.5,6.1886578
367323,2017-05-16T24:00:00Z,-17.5,177.5,0.44027776
367324,2017-05-16T24:00:00Z,-12.5,-177.5,1.1096667
367325,2017-05-16T24:00:00Z,-12.5,-172.5,3.2115746
367326,2017-05-16T24:00:00Z,-12.5,-77.5,2.0310714
367327,2017-05-16T24:00:00Z,-12.5,-72.5,6.9893103
367328,2017-05-16T24:00:00Z,-12.5,-37.5,0.4239242
367329,2017-05-16T24:00:00Z,-12.5,47.5,-0.40535715
367330,2017-05-16T24:00:00Z,-12.5,57.5,-2.27
367331,2017-05-16T24:00:00Z,-12.5,132.5,-0.67296994
367332,2017-05-16T24:00:00Z,-12.5,137.5,0.51033336
367333,2017-05-16T24:00:00Z,-12.5,142.5,0.8982593
367334,2017-05-16T24:00:00Z,-12.5,167.5,5.7791667
367335,2017-05-16T24:00:00Z,-12.5,177.5,-1.1852174
367336,2017-05-16T24:00:00Z,-7.5,-82.5,2.9564285
367337,2017-05-16T24:00:00Z,-7.5,-77.5,3.0984
367338,2017-05-16T24:00:00Z,-7.5,-72.5,2.3121428
367339,2017-05-16T24:00:00Z,-7.5,-62.5,2.892857
367340,2017-05-16T24:00:00Z,-7.5,-47.5,-1.0916
367341,2017-05-16T24:00:00Z,-7.5,-42.5,-2.47325
367342,2017-05-16T24:00:00Z,-7.5,-37.5,-0.1461207
367343,2017-05-16T24:00:00Z,-7.5,-32.5,1.2849166
367344,2017-05-16T24:00:00Z,-7.5,-12.5,-0.9662963
367345,2017-05-16T24:00:00Z,-7.5,37.5,4.692222
367346,2017-05-16T24:00:00Z,-7.5,107.5,-0.48536226
367347,2017-05-16T24:00:00Z,-7.5,112.5,-0.7679491
367348,2017-05-16T24:00:00Z,-7.5,117.5,-1.1172928
367349,2017-05-16T24:00:00Z,-7.5,122.5,-3.141579
367350,2017-05-16T24:00:00Z,-7.5,132.5,-1.5020952
367351,2017-05-16T24:00:00Z,-7.5,157.5,-2.6166666
367352,2017-05-16T24:00:00Z,-7.5,162.5,-0.9392
367353,2017-05-16T24:00:00Z,-2.5,-82.5,3.0502539
367354,2017-05-16T24:00:00Z,-2.5,-77.5,3.1859286
367355,2017-05-16T24:00:00Z,-2.5,-72.5,-0.14733334
367356,2017-05-16T24:00:00Z,-2.5,-67.5,-0.5271429
367357,2017-05-16T24:00:00Z,-2.5,-62.5,-1.9613793
367358,2017-05-16T24:00:00Z,-2.5,-57.5,-4.9489655
367359,2017-05-16T24:00:00Z,-2.5,-52.5,-1.9272413
367360,2017-05-16T24:00:00Z,-2.5,-47.5,-0.971
367361,2017-05-16T24:00:00Z,-2.5,-42.5,-4.238929
367362,2017-05-16T24:00:00Z,-2.5,-37.5,-2.613
367363,2017-05-16T24:00:00Z,-2.5,12.5,0.3885185
367364,2017-05-16T24:00:00Z,-2.5,32.5,-0.33413792
367365,2017-05-16T24:00:00Z,-2.5,37.5,0.62974584
367366,2017-05-16T24:00:00Z,-2.5,57.5,1.2775
367367,2017-05-16T24:00:00Z,-2.5,102.5,1.6017201
367368,2017-05-16T24:00:00Z,-2.5,107.5,-0.18363637
367369,2017-05-16T24:00:00Z,-2.5,112.5,2.1780405
367370,2017-05-16T24:00:00Z,-2.5,117.5,1.7286726
367371,2017-05-16T24:00:00Z,-2.5,122.5,0.58623147
367372,2017-05-16T24:00:00Z,-2.5,127.5,1.7910526
367373,2017-05-16T24:00:00Z,2.5,-77.5,2.6755402
367374,2017-05-16T24:00:00Z,2.5,-72.5,1.597
367375,2017-05-16T24:00:00Z,2.5,-62.5,3.573
367376,2017-05-16T24:00:00Z,2.5,-52.5,-1.516
367377,2017-05-16T24:00:00Z,2.5,-7.5,3.1915
367378,2017-05-16T24:00:00Z,2.5,7.5,0.0025
367379,2017-05-16T24:00:00Z,2.5,17.5,3.15
367380,2017-05-16T24:00:00Z,2.5,32.5,3.9294677
367381,2017-05-16T24:00:00Z,2.5,37.5,0.53109354
367382,2017-05-16T24:00:00Z,2.5,97.5,0.7981143
367383,2017-05-16T24:00:00Z,2.5,102.5,2.252266
367384,2017-05-16T24:00:00Z,2.5,112.5,1.6554276
367385,2017-05-16T24:00:00Z,2.5,117.5,-0.24433333
367386,2017-05-16T24:00:00Z,2.5,122.5,1.8866
367387,2017-05-16T24:00:00Z,2.5,172.5,-0.27071428
367388,2017-05-16T24:00:00Z,7.5,-82.5,3.3355393
367389,2017-05-16T24:00:00Z,7.5,-77.5,3.966086
367390,2017-05-16T24:00:00Z,7.5,-72.5,1.5833994
367391,2017-05-16T24:00:00Z,7.5,-57.5,0.061578948
367392,2017-05-16T24:00:00Z,7.5,-7.5,-0.021800004
367393,2017-05-16T24:00:00Z,7.5,2.5,0.44519588
367394,2017-05-16T24:00:00Z,7.5,17.5,2.8095834
367395,2017-05-16T24:00:00Z,7.5,37.5,9.9045
367396,2017-05-16T24:00:00Z,7.5,77.5,-0.7535878
367397,2017-05-16T24:00:00Z,7.5,82.5,-0.27728635
367398,2017-05-16T24:00:00Z,7.5,97.5,2.1600332
367399,2017-05-16T24:00:00Z,7.5,102.5,1.0868666
367400,2017-05-16T24:00:00Z,7.5,107.5,2.5918334
367401,2017-05-16T24:00:00Z,7.5,112.5,2.3907142
367402,2017-05-16T24:00:00Z,7.5,117.5,2.2326665
367403,2017-05-16T24:00:00Z,7.5,122.5,2.0980117
367404,2017-05-16T24:00:00Z,7.5,127.5,2.379091
367405,2017-05-16T24:00:00Z,7.5,132.5,0.12866667
367406,2017-05-16T24:00:00Z,7.5,137.5,0.39633334
367407,2017-05-16T24:00:00Z,7.5,152.5,0.5830769
367408,2017-05-16T24:00:00Z,7.5,167.5,0.46769232
367409,2017-05-16T24:00:00Z,12.5,-92.5,3.5740345
367410,2017-05-16T24:00:00Z,12.5,-87.5,5.2757287
367411,2017-05-16T24:00:00Z,12.5,-77.5,1.5053571
367412,2017-05-16T24:00:00Z,12.5,-72.5,1.8214545
367413,2017-05-16T24:00:00Z,12.5,-67.5,-6.116983
367414,2017-05-16T24:00:00Z,12.5,-62.5,2.0631638
367415,2017-05-16T24:00:00Z,12.5,-57.5,1.1386207
367416,2017-05-16T24:00:00Z,12.5,-17.5,3.8744864
367417,2017-05-16T24:00:00Z,12.5,-12.5,6.4205623
367418,2017-05-16T24:00:00Z,12.5,-7.5,5.2689333
367419,2017-05-16T24:00:00Z,12.5,-2.5,5.242282
367420,2017-05-16T24:00:00Z,12.5,2.5,2.2291033
367421,2017-05-16T24:00:00Z,12.5,7.5,1.6435839
367422,2017-05-16T24:00:00Z,12.5,12.5,0.025289811
367423,2017-05-16T24:00:00Z,12.5,17.5,-1.3053334
367424,2017-05-16T24:00:00Z,12.5,77.5,-2.0922368
367425,2017-05-16T24:00:00Z,12.5,82.5,-3.001
367426,2017-05-16T24:00:00Z,12.5,97.5,4.0625834
367427,2017-05-16T24:00:00Z,12.5,102.5,4.4592943
367428,2017-05-16T24:00:00Z,12.5,107.5,2.6186023
367429,2017-05-16T24:00:00Z,12.5,122.5,0.3617542
367430,2017-05-16T24:00:00Z,12.5,127.5,2.5114286
367431,2017-05-16T24:00:00Z,12.5,142.5,2.0403333
367432,2017-05-16T24:00:00Z,12.5,147.5,1.2937931
367433,2017-05-16T24:00:00Z,17.5,-157.5,0.48133335
367434,2017-05-16T24:00:00Z,17.5,-102.5,0.7934079
367435,2017-05-16T24:00:00Z,17.5,-97.5,2.281879
367436,2017-05-16T24:00:00Z,17.5,-92.5,-0.49961668
367437,2017-05-16T24:00:00Z,17.5,-87.5,1.2259294
367438,2017-05-16T24:00:00Z,17.5,-82.5,-0.40666667
367439,2017-05-16T24:00:00Z,17.5,-77.5,3.6425185
367440,2017-05-16T24:00:00Z,17.5,-72.5,1.3497018
367441,2017-05-16T24:00:00Z,17.5,-67.5,1.590624
367442,2017-05-16T24:00:00Z,17.5,-62.5,1.4902006
367443,2017-05-16T24:00:00Z,17.5,-22.5,-0.81642854
367444,2017-05-16T24:00:00Z,17.5,-17.5,2.8308334
367445,2017-05-16T24:00:00Z,17.5,-12.5,2.4107587
367446,2017-05-16T24:00:00Z,17.5,-7.5,6.731458
367447,2017-05-16T24:00:00Z,17.5,7.5,-1.7626923
367448,2017-05-16T24:00:00Z,17.5,12.5,-1.24
367449,2017-05-16T24:00:00Z,17.5,32.5,6.3672
367450,2017-05-16T24:00:00Z,17.5,42.5,5.793667
367451,2017-05-16T24:00:00Z,17.5,52.5,3.0972357
367452,2017-05-16T24:00:00Z,17.5,57.5,16.28
367453,2017-05-16T24:00:00Z,17.5,72.5,0.10651341
367454,2017-05-16T24:00:00Z,17.5,77.5,-3.550733
367455,2017-05-16T24:00:00Z,17.5,82.5,-2.722187
367456,2017-05-16T24:00:00Z,17.5,97.5,2.2469432
367457,2017-05-16T24:00:00Z,17.5,102.5,2.8029795
367458,2017-05-16T24:00:00Z,17.5,107.5,4.4755487
367459,2017-05-16T24:00:00Z,17.5,112.5,2.6417143
367460,2017-05-16T24:00:00Z,17.5,117.5,-0.14923076
367461,2017-05-16T24:00:00Z,17.5,122.5,1.8358256
367462,2017-05-16T24:00:00Z,22.5,-157.5,-3.578
367463,2017-05-16T24:00:00Z,22.5,-112.5,2.298023
367464,2017-05-16T24:00:00Z,22.5,-107.5,2.0796406
367465,2017-05-16T24:00:00Z,22.5,-102.5,-4.3203173
367466,2017-05-16T24:00:00Z,22.5,-97.5,0.045604616
367467,2017-05-16T24:00:00Z,22.5,-87.5,-0.43315557
367468,2017-05-16T24:00:00Z,22.5,-82.5,-0.8984907
367469,2017-05-16T24:00:00Z,22.5,-77.5,-1.642663
367470,2017-05-16T24:00:00Z,22.5,-17.5,2.007
367471,2017-05-16T24:00:00Z,22.5,-12.5,-2.89
367472,2017-05-16T24:00:00Z,22.5,7.5,-1.0818461
367473,2017-05-16T24:00:00Z,22.5,32.5,-0.2348276
367474,2017-05-16T24:00:00Z,22.5,37.5,-0.9209523
367475,2017-05-16T24:00:00Z,22.5,42.5,3.766316
367476,2017-05-16T24:00:00Z,22.5,47.5,-0.589
367477,2017-05-16T24:00:00Z,22.5,52.5,1.5181364
367478,2017-05-16T24:00:00Z,22.5,57.5,-0.9174693
367479,2017-05-16T24:00:00Z,22.5,67.5,1.5793103
367480,2017-05-16T24:00:00Z,22.5,72.5,-2.1917624
367481,2017-05-16T24:00:00Z,22.5,77.5,-1.9616387
367482,2017-05-16T24:00:00Z,22.5,82.5,-1.4953703
367483,2017-05-16T24:00:00Z,22.5,87.5,-0.9494938
367484,2017-05-16T24:00:00Z,22.5,92.5,-1.8434321
367485,2017-05-16T24:00:00Z,22.5,97.5,-2.1746523
367486,2017-05-16T24:00:00Z,22.5,102.5,-2.4476743
367487,2017-05-16T24:00:00Z,22.5,107.5,-0.83626765
367488,2017-05-16T24:00:00Z,22.5,112.5,-0.57912964
367489,2017-05-16T24:00:00Z,22.5,117.5,-1.1363335
367490,2017-05-16T24:00:00Z,22.5,122.5,1.4483556
367491,2017-05-16T24:00:00Z,22.5,127.5,0.66033334
367492,2017-05-16T24:00:00Z,22.5,142.5,-2.018276
367493,2017-05-16T24:00:00Z,22.5,152.5,-2.1353333
367494,2017-05-16T24:00:00Z,27.5,-112.5,2.0097954
367495,2017-05-16T24:00:00Z,27.5,-107.5,-0.9240296
367496,2017-05-16T24:00:00Z,27.5,-102.5,-2.2370863
367497,2017-05-16T24:00:00Z,27.5,-97.5,-3.3307037
367498,2017-05-16T24:00:00Z,27.5,-92.5,-0.7338889
367499,2017-05-16T24:00:00Z,27.5,-87.5,1.2347826
367500,2017-05-16T24:00:00Z,27.5,-82.5,-1.8245965
367501,2017-05-16T24:00:00Z,27.5,-77.5,-4.99
367502,2017-05-16T24:00:00Z,27.5,-17.5,-0.6758873
367503,2017-05-16T24:00:00Z,27.5,-12.5,-0.3431293
367504,2017-05-16T24:00:00Z,27.5,7.5,-3.4505641
367505,2017-05-16T24:00:00Z,27.5,22.5,-0.22086957
367506,2017-05-16T24:00:00Z,27.5,27.5,1.7040906
367507,2017-05-16T24:00:00Z,27.5,32.5,-1.7364557
367508,2017-05-16T24:00:00Z,27.5,37.5,-1.0931667
367509,2017-05-16T24:00:00Z,27.5,42.5,-2.2034445
367510,2017-05-16T24:00:00Z,27.5,47.5,-0.7542617
367511,2017-05-16T24:00:00Z,27.5,52.5,-1.86473
367512,2017-05-16T24:00:00Z,27.5,57.5,2.5456955
367513,2017-05-16T24:00:00Z,27.5,62.5,-3.3956878
367514,2017-05-16T24:00:00Z,27.5,67.5,1.004372
367515,2017-05-16T24:00:00Z,27.5,72.5,-0.36117244
367516,2017-05-16T24:00:00Z,27.5,77.5,-0.33429602
367517,2017-05-16T24:00:00Z,27.5,82.5,-0.79333335
367518,2017-05-16T24:00:00Z,27.5,87.5,2.7982426
367519,2017-05-16T24:00:00Z,27.5,92.5,0.9215
367520,2017-05-16T24:00:00Z,27.5,97.5,2.4413333
367521,2017-05-16T24:00:00Z,27.5,102.5,-0.94896716
367522,2017-05-16T24:00:00Z,27.5,107.5,-3.2222292
367523,2017-05-16T24:00:00Z,27.5,112.5,-3.2597775
367524,2017-05-16T24:00:00Z,27.5,117.5,-4.0705385
367525,2017-05-16T24:00:00Z,27.5,122.5,-0.23787574
367526,2017-05-16T24:00:00Z,27.5,127.5,0.66909516
367527,2017-05-16T24:00:00Z,27.5,132.5,5.7623334
367528,2017-05-16T24:00:00Z,27.5,142.5,-0.19766666
367529,2017-05-16T24:00:00Z,32.5,-122.5,2.9895833
367530,2017-05-16T24:00:00Z,32.5,-117.5,-0.9584879
367531,2017-05-16T24:00:00Z,32.5,-112.5,-0.5725519
367532,2017-05-16T24:00:00Z,32.5,-107.5,-0.31614938
367533,2017-05-16T24:00:00Z,32.5,-102.5,-4.9846587
367534,2017-05-16T24:00:00Z,32.5,-97.5,-4.4665966
367535,2017-05-16T24:00:00Z,32.5,-92.5,-0.055534296
367536,2017-05-16T24:00:00Z,32.5,-87.5,0.99075514
367537,2017-05-16T24:00:00Z,32.5,-82.5,-0.83669305
