date,lat,lon,t_abs
2017-05-16,-7.5,-32.5,26.4
2017-05-16,-7.5,-12.5,27.16
2017-05-16,-7.5,37.5,25.63
2017-05-16,-7.5,107.5,28.855
2017-05-16,-7.5,112.5,28.636667
2017-05-16,-7.5,117.5,27.4675
2017-05-16,-7.5,122.5,28.11
2017-05-16,-7.5,132.5,27.575
2017-05-16,-7.5,157.5,27.56
2017-05-16,-7.5,162.5,27.17
2017-05-16,-7.5,177.5,29.24
2017-05-16,-2.5,-82.5,26.2
2017-05-16,-2.5,-77.5,18.994999
2017-05-16,-2.5,-72.5,26.32
2017-05-16,-2.5,-67.5,25.84
2017-05-16,-2.5,-62.5,26.79
2017-05-16,-2.5,-57.5,27.6
2017-05-16,-2.5,-52.5,26.68
2017-05-16,-2.5,-47.5,26.64
2017-05-16,-2.5,-37.5,27.78
2017-05-16,-2.5,12.5,26.81
2017-05-16,-2.5,32.5,22.48
2017-05-16,-2.5,37.5,21.274288
2017-05-16,-2.5,57.5,28.26
2017-05-16,-2.5,102.5,27.705
2017-05-16,-2.5,107.5,27.89
2017-05-16,-2.5,112.5,27.573334
2017-05-16,-2.5,117.5,27.769999
2017-05-16,-2.5,122.5,27.45
2017-05-16,-2.5,127.5,26.62
2017-05-16,2.5,-77.5,22.415
2017-05-16,2.5,-72.5,14.38
2017-05-16,2.5,-62.5,26.42
2017-05-16,2.5,-52.5,28.46
2017-05-16,2.5,-7.5,27.43
2017-05-16,2.5,7.5,27.25
2017-05-16,2.5,17.5,26.51
2017-05-16,2.5,32.5,18.77
2017-05-16,2.5,37.5,22.423334
2017-05-16,2.5,97.5,27.445
2017-05-16,2.5,102.5,28.179998
2017-05-16,2.5,112.5,27.766
2017-05-16,2.5,117.5,27.59
2017-05-16,2.5,122.5,27.39
2017-05-16,2.5,172.5,28.68
2017-05-16,7.5,-82.5,26.016668
2017-05-16,7.5,-77.5,22.085
2017-05-16,7.5,-72.5,28.02
2017-05-16,7.5,-57.5,26.69
2017-05-16,7.5,-7.5,27.185
2017-05-16,7.5,2.5,27.674286
2017-05-16,7.5,17.5,30.23
2017-05-16,7.5,37.5,18.07
2017-05-16,7.5,77.5,29.133333
2017-05-16,7.5,82.5,23.045
2017-05-16,7.5,97.5,28.26125
2017-05-16,7.5,102.5,28.585
2017-05-16,7.5,107.5,28.795
2017-05-16,7.5,112.5,29.34
2017-05-16,7.5,117.5,28.422499
2017-05-16,7.5,122.5,29.013334
2017-05-16,7.5,127.5,28.373335
2017-05-16,7.5,132.5,26.92
2017-05-16,7.5,137.5,27.86
2017-05-16,7.5,152.5,28.52
2017-05-16,7.5,167.5,28.58
2017-05-16,12.5,-92.5,25.416666
2017-05-16,12.5,-87.5,28.115
2017-05-16,12.5,-77.5,28.96
2017-05-16,12.5,-72.5,28.56
2017-05-16,12.5,-67.5,27.279999
2017-05-16,12.5,-62.5,28.699999
2017-05-16,12.5,-57.5,28.03
2017-05-16,12.5,-17.5,27.685999
2017-05-16,12.5,-12.5,33.37
2017-05-16,12.5,-7.5,31.099998
2017-05-16,12.5,-2.5,31.577002
2017-05-16,12.5,2.5,31.710001
2017-05-16,12.5,7.5,34.618004
2017-05-16,12.5,12.5,34.8275
2017-05-16,12.5,17.5,34.39
2017-05-16,12.5,77.5,31.618334
2017-05-16,12.5,97.5,29.26
2017-05-16,12.5,102.5,29.310001
2017-05-16,12.5,107.5,28.615
2017-05-16,12.5,122.5,29.410666
2017-05-16,12.5,127.5,28.22
2017-05-16,12.5,142.5,28.119999
2017-05-16,12.5,147.5,28.64
2017-05-16,17.5,-157.5,23.82
2017-05-16,17.5,-102.5,24.523333
2017-05-16,17.5,-97.5,23.493334
2017-05-16,17.5,-92.5,24.688334
2017-05-16,17.5,-87.5,28.8875
2017-05-16,17.5,-82.5,28.78
2017-05-16,17.5,-77.5,26.595
2017-05-16,17.5,-72.5,28.37
2017-05-16,17.5,-67.5,27.217999
2017-05-16,17.5,-62.5,27.839998
2017-05-16,17.5,-17.5,27.943335
2017-05-16,17.5,-12.5,35.31
2017-05-16,17.5,-7.5,35.97
2017-05-16,17.5,7.5,37.26
2017-05-16,17.5,12.5,34.24
2017-05-16,17.5,42.5,28.160002
2017-05-16,17.5,52.5,30.135
2017-05-16,17.5,57.5,30.39
2017-05-16,17.5,72.5,30.529999
2017-05-16,17.5,77.5,34.695
2017-05-16,17.5,82.5,31.443335
2017-05-16,17.5,97.5,29.512
2017-05-16,17.5,102.5,29.140589
2017-05-16,17.5,107.5,27.751669
2017-05-16,17.5,112.5,28.76
2017-05-16,17.5,117.5,29.3
2017-05-16,17.5,122.5,27.768751
2017-05-16,22.5,-157.5,24.885002
2017-05-16,22.5,-112.5,24.485
2017-05-16,22.5,-107.5,25.212502
2017-05-16,22.5,-102.5,23.843332
2017-05-16,22.5,-97.5,28.712502
2017-05-16,22.5,-87.5,28.689999
2017-05-16,22.5,-82.5,26.7225
