date,lat,lon,rh_anoms
2017-05-16,-7.5,-82.5,2.9564285
2017-05-16,-7.5,-77.5,3.0984
2017-05-16,-7.5,-72.5,2.3121428
2017-05-16,-7.5,-62.5,2.892857
2017-05-16,-7.5,-47.5,-1.0916
2017-05-16,-7.5,-42.5,-2.47325
2017-05-16,-7.5,-37.5,-0.1461207
2017-05-16,-7.5,-32.5,1.2849166
2017-05-16,-7.5,-12.5,-0.9662963
2017-05-16,-7.5,37.5,4.692222
2017-05-16,-7.5,107.5,-0.48536226
2017-05-16,-7.5,112.5,-0.7679491
2017-05-16,-7.5,117.5,-1.1172928
2017-05-16,-7.5,122.5,-3.141579
2017-05-16,-7.5,132.5,-1.5020952
2017-05-16,-7.5,157.5,-2.6166666
2017-05-16,-7.5,162.5,-0.9392
2017-05-16,-2.5,-82.5,3.0502539
2017-05-16,-2.5,-77.5,3.1859286
2017-05-16,-2.5,-72.5,-0.14733334
2017-05-16,-2.5,-67.5,-0.5271429
2017-05-16,-2.5,-62.5,-1.9613793
2017-05-16,-2.5,-57.5,-4.9489655
2017-05-16,-2.5,-52.5,-1.9272413
2017-05-16,-2.5,-47.5,-0.971
2017-05-16,-2.5,-42.5,-4.238929
2017-05-16,-2.5,-37.5,-2.613
2017-05-16,-2.5,12.5,0.3885185
2017-05-16,-2.5,32.5,-0.33413792
2017-05-16,-2.5,37.5,0.62974584
2017-05-16,-2.5,57.5,1.2775
2017-05-16,-2.5,102.5,1.6017201
2017-05-16,-2.5,107.5,-0.18363637
2017-05-16,-2.5,112.5,2.1780405
2017-05-16,-2.5,117.5,1.7286726
2017-05-16,-2.5,122.5,0.58623147
2017-05-16,-2.5,127.5,1.7910526
2017-05-16,2.5,-77.5,2.6755402
2017-05-16,2.5,-72.5,1.597
2017-05-16,2.5,-62.5,3.573
2017-05-16,2.5,-52.5,-1.516
2017-05-16,2.5,-7.5,3.1915
2017-05-16,2.5,7.5,0.0025
2017-05-16,2.5,17.5,3.15
2017-05-16,2.5,32.5,3.9294677
2017-05-16,2.5,37.5,0.53109354
2017-05-16,2.5,97.5,0.7981143
2017-05-16,2.5,102.5,2.252266
2017-05-16,2.5,112.5,1.6554276
2017-05-16,2.5,117.5,-0.24433333
2017-05-16,2.5,122.5,1.8866
2017-05-16,2.5,172.5,-0.27071428
2017-05-16,7.5,-82.5,3.3355393
2017-05-16,7.5,-77.5,3.966086
2017-05-16,7.5,-72.5,1.5833994
2017-05-16,7.5,-57.5,0.061578948
2017-05-16,7.5,-7.5,-0.021800004
2017-05-16,7.5,2.5,0.44519588
2017-05-16,7.5,17.5,2.8095834
2017-05-16,7.5,37.5,9.9045
2017-05-16,7.5,77.5,-0.7535878
2017-05-16,7.5,82.5,-0.27728635
2017-05-16,7.5,97.5,2.1600332
2017-05-16,7.5,102.5,1.0868666
2017-05-16,7.5,107.5,2.5918334
2017-05-16,7.5,112.5,2.3907142
2017-05-16,7.5,117.5,2.2326665
2017-05-16,7.5,122.5,2.0980117
2017-05-16,7.5,127.5,2.379091
2017-05-16,7.5,132.5,0.12866667
2017-05-16,7.5,137.5,0.39633334
2017-05-16,7.5,152.5,0.5830769
2017-05-16,7.5,167.5,0.46769232
2017-05-16,12.5,-92.5,3.5740345
2017-05-16,12.5,-87.5,5.2757287
2017-05-16,12.5,-77.5,1.5053571
2017-05-16,12.5,-72.5,1.8214545
2017-05-16,12.5,-67.5,-6.116983
2017-05-16,12.5,-62.5,2.0631638
2017-05-16,12.5,-57.5,1.1386207
2017-05-16,12.5,-17.5,3.8744864
2017-05-16,12.5,-12.5,6.4205623
2017-05-16,12.5,-7.5,5.2689333
2017-05-16,12.5,-2.5,5.242282
2017-05-16,12.5,2.5,2.2291033
2017-05-16,12.5,7.5,1.6435839
2017-05-16,12.5,12.5,0.025289811
2017-05-16,12.5,17.5,-1.3053334
2017-05-16,12.5,77.5,-2.0922368
2017-05-16,12.5,82.5,-3.001
2017-05-16,12.5,97.5,4.0625834
2017-05-16,12.5,102.5,4.4592943
2017-05-16,12.5,107.5,2.6186023
2017-05-16,12.5,122.5,0.3617542
2017-05-16,12.5,127.5,2.5114286
2017-05-16,12.5,142.5,2.0403333
2017-05-16,12.5,147.5,1.2937931
2017-05-16,17.5,-157.5,0.48133335
2017-05-16,17.5,-102.5,0.7934079
2017-05-16,17.5,-97.5,2.281879
2017-05-16,17.5,-92.5,-0.49961668
2017-05-16,17.5,-87.5,1.2259294
2017-05-16,17.5,-82.5,-0.40666667
2017-05-16,17.5,-77.5,3.6425185
2017-05-16,17.5,-72.5,1.3497018
2017-05-16,17.5,-67.5,1.590624
2017-05-16,17.5,-62.5,1.4902006
2017-05-16,17.5,-22.5,-0.81642854
2017-05-16,17.5,-17.5,2.8308334
2017-05-16,17.5,-12.5,2.4107587
2017-05-16,17.5,-7.5,6.731458
2017-05-16,17.5,7.5,-1.7626923
2017-05-16,17.5,12.5,-1.24
2017-05-16,17.5,32.5,6.3672
2017-05-16,17.5,42.5,5.793667
2017-05-16,17.5,52.5,3.0972357
2017-05-16,17.5,57.5,16.28
2017-05-16,17.5,72.5,0.10651341
2017-05-16,17.5,77.5,-3.550733
2017-05-16,17.5,82.5,-2.722187
2017-05-16,17.5,97.5,2.2469432
2017-05-16,17.5,102.5,2.8029795
2017-05-16,17.5,107.5,4.4755487
2017-05-16,17.5,112.5,2.6417143
2017-05-16,17.5,117.5,-0.14923076
2017-05-16,17.5,122.5,1.8358256
2017-05-16,22.5,-157.5,-3.578
2017-05-16,22.5,-112.5,2.298023
2017-05-16,22.5,-107.5,2.0796406
2017-05-16,22.5,-102.5,-4.3203173
2017-05-16,22.5,-97.5,0.045604616
2017-05-16,22.5,-87.5,-0.43315557
2017-05-16,22.5,-82.5,-0.8984907
2017-05-16,22.5,-77.5,-1.642663
2017-05-16,22.5,-17.5,2.007
2017-05-16,22.5,-12.5,-2.89
2017-05-16,22.5,7.5,-1.0818461
2017-05-16,22.5,32.5,-0.2348276
2017-05-16,22.5,37.5,-0.9209523
2017-05-16,22.5,42.5,3.766316
2017-05-16,22.5,47.5,-0.589
2017-05-16,22.5,52.5,1.5181364
2017-05-16,22.5,57.5,-0.9174693
2017-05-16,22.5,67.5,1.5793103
2017-05-16,22.5,72.5,-2.1917624
2017-05-16,22.5,77.5,-1.9616387
2017-05-16,22.5,82.5,-1.4953703
2017-05-16,22.5,87.5,-0.9494938
2017-05-16,22.5,92.5,-1.8434321
2017-05-16,22.5,97.5,-2.1746523
2017-05-16,22.5,102.5,-2.4476743
2017-05-16,22.5,107.5,-0.83626765
2017-05-16,22.5,112.5,-0.57912964
2017-05-16,22.5,117.5,-1.1363335
2017-05-16,22.5,122.5,1.4483556
2017-05-16,22.5,127.5,0.66033334
2017-05-16,22.5,142.5,-2.018276
2017-05-16,22.5,152.5,-2.1353333
2017-05-16,27.5,-112.5,2.0097954
2017-05-16,27.5,-107.5,-0.9240296
2017-05-16,27.5,-102.5,-2.2370863
2017-05-16,27.5,-97.5,-3.3307037
2017-05-16,27.5,-92.5,-0.7338889
2017-05-16,27.5,-87.5,1.2347826
2017-05-16,27.5,-82.5,-1.8245965
2017-05-16,27.5,-77.5,-4.99
2017-05-16,27.5,-17.5,-0.6758873
2017-05-16,27.5,-12.5,-0.3431293
2017-05-16,27.5,7.5,-3.4505641
2017-05-16,27.5,22.5,-0.22086957
2017-05-16,27.5,27.5,1.7040906
2017-05-16,27.5,32.5,-1.7364557
2017-05-16,27.5,37.5,-1.0931667
2017-05-16,27.5,42.5,-2.2034445
2017-05-16,27.5,47.5,-0.7542617
2017-05-16,27.5,52.5,-1.86473
2017-05-16,27.5,57.5,2.5456955
2017-05-16,27.5,62.5,-3.3956878
2017-05-16,27.5,67.5,1.004372
2017-05-16,27.5,72.5,-0.36117244
2017-05-16,27.5,77.5,-0.33429602
2017-05-16,27.5,82.5,-0.79333335
2017-05-16,27.5,87.5,2.7982426
2017-05-16,27.5,92.5,0.9215
2017-05-16,27.5,97.5,2.4413333
2017-05-16,27.5,102.5,-0.94896716
2017-05-16,27.5,107.5,-3.2222292
2017-05-16,27.5,112.5,-3.2597775
2017-05-16,27.5,117.5,-4.0705385
2017-05-16,27.5,122.5,-0.23787574
2017-05-16,27.5,127.5,0.66909516
2017-05-16,27.5,132.5,5.7623334
2017-05-16,27.5,142.5,-0.19766666
2017-05-16,32.5,-122.5,2.9895833
2017-05-16,32.5,-117.5,-0.9584879
2017-05-16,32.5,-112.5,-0.5725519
2017-05-16,32.5,-107.5,-0.31614938
2017-05-16,32.5,-102.5,-4.9846587
2017-05-16,32.5,-97.5,-4.4665966
2017-05-16,32.5,-92.5,-0.055534296
2017-05-16,32.5,-87.5,0.99075514
2017-05-16,32.5,-82.5,-0.83669305
2017-05-16,32.5,-77.5,-0.498008
2017-05-16,32.5,-62.5,-0.545
2017-05-16,32.5,-17.5,0.1071746
2017-05-16,32.5,-7.5,-0.9607812
2017-05-16,32.5,-2.5,-3.622514
2017-05-16,32.5,2.5,-5.1763854
2017-05-16,32.5,7.5,-1.2585593
2017-05-16,32.5,12.5,0.49775028
2017-05-16,32.5,17.5,-1.4728
2017-05-16,32.5,27.5,-4.351941
2017-05-16,32.5,32.5,-0.09133078
2017-05-16,32.5,37.5,-3.4980998
2017-05-16,32.5,47.5,-2.5836537
2017-05-16,32.5,52.5,0.20063177
2017-05-16,32.5,57.5,-1.4378277
2017-05-16,32.5,62.5,-0.6095833
